1	8.5 cm	248,387,328	12,151,146	2058	1220	1200	496	134	66	221	145	192	EBI	125	7.9
2	8.3 cm	242,696,752	12,945,965	1309	1023	1037	375	115	40	161	117	176	EBI	93.3	16.2
3	6.7 cm	201,105,948	10,638,715	1078	763	711	298	99	29	138	87	134	EBI	91	23
4	6.5 cm	193,574,945	10,165,685	752	727	657	228	92	24	120	56	104	EBI	50.4	29.6
5	6.2 cm	182,045,439	9,519,995	876	721	844	235	83	25	106	61	119	EBI	48.4	35.8
6	5.8 cm	172,126,628	9,130,476	1048	801	639	234	81	26	111	73	105	EBI	61	41.6
7	5.4 cm	160,567,428	8,613,298	989	885	605	208	90	24	90	76	143	EBI	59.9	47.1
8	5.0 cm	146,259,331	8,221,520	677	613	735	214	80	28	86	52	82	EBI	45.6	52
9	4.8 cm	150,617,247	6,590,811	786	661	491	190	69	19	66	51	96	EBI	49	56.3
10	4.6 cm	134,758,134	7,223,944	733	568	579	204	64	32	87	56	89	EBI	40.2	60.9
11	4.6 cm	135,127,769	7,535,370	1298	821	710	233	63	24	74	76	97	EBI	53.7	65.4
12	4.5 cm	133,324,548	7,228,129	1034	617	848	227	72	27	106	62	115	EBI	35.8	70
13	3.9 cm	113,566,686	5,082,574	327	372	397	104	42	16	45	34	75	EBI	17.9	73.4
14	3.6 cm	101,161,492	4,865,950	830	523	533	239	92	10	65	97	79	EBI	17.6	76.4
15	3.5 cm	99,753,195	4,515,076	613	510	639	250	78	13	63	136	93	EBI	19	79.3
16	3.1 cm	96,330,374	5,101,702	873	465	799	187	52	32	53	58	51	EBI	36.6	82
17	2.8 cm	84,276,897	4,614,972	1197	531	834	235	61	15	80	71	99	EBI	24	84.8
18	2.7 cm	80,542,538	4,035,966	270	247	453	109	32	13	51	36	41	EBI	17.2	87.4
19	2.0 cm	61,707,364	3,858,269	1472	512	628	179	110	13	29	31	61	EBI	26.5	89.3
20	2.1 cm	66,210,255	3,439,621	544	249	384	131	57	15	46	37	68	EBI	27.5	91.4
21	1.6 cm	45,090,682	2,049,697	234	185	305	71	16	5	21	19	24	EBI	13.2	92.6
22	1.7 cm	51,324,926	2,135,311	488	324	357	78	31	5	23	23	62	EBI	14.7	93.8
X	5.3 cm	154,259,566	5,753,881	842	874	271	258	128	22	85	64	100	EBI	60.6	99.1
Y	2.0 cm	62,460,029	211,643	71	388	71	30	15	7	17	3	8	EBI	10.4	100
